City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
80,Chuy,UY,-33.6971,-53.4616,62.49,57,96,7.9,overcast clouds
81,Balkanabat,TM,39.5108,54.3671,63.9,46,1,11.21,clear sky
82,Hamilton,US,39.1834,-84.5333,86.92,71,75,10.36,broken clouds
83,Butaritari,KI,3.0707,172.7902,80.56,80,58,10.65,broken clouds
84,Bang Saphan,TH,11.2126,99.5117,77.41,91,100,4.99,moderate rain
85,Sobolevo,RU,54.4299,31.8996,45.46,97,100,10.87,overcast clouds
86,Whitehorse,CA,60.7161,-135.0538,57.09,45,20,6.91,few clouds
87,Niihama,JP,33.9593,133.3167,60.26,83,11,4.23,few clouds
88,Jumla,NP,29.2747,82.1838,52.52,79,87,4.36,overcast clouds
89,Kailua,US,21.4022,-157.7394,77.07,95,6,7.49,clear sky
90,Auki,SB,-8.7676,160.7034,75.79,87,36,3.2,scattered clouds
91,Atuona,PF,-9.8,-139.0333,77.61,76,22,10.33,few clouds
92,Lompoc,US,34.6391,-120.4579,74.7,58,0,6.91,clear sky
93,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,95,99,5.17,overcast clouds
94,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,100,10.36,light snow
95,Guaraniacu,BR,-25.1008,-52.8781,61.92,48,24,3.06,few clouds
96,Teya,RU,60.3778,92.6267,43.41,87,87,6.38,overcast clouds
97,West University Place,US,29.718,-95.4338,95.99,62,75,17.27,haze
98,Half Moon Bay,US,37.4636,-122.4286,80.87,62,0,8.05,haze
99,Bredasdorp,ZA,-34.5322,20.0403,54.18,81,55,5.77,broken clouds
100,Arman,RU,59.7,150.1667,37.02,97,100,1.32,overcast clouds
101,Mikkeli,FI,61.6886,27.2723,53.71,35,0,8.05,clear sky
102,Constitucion,CL,-35.3333,-72.4167,59.13,55,62,10.85,broken clouds
103,Nikolayevka,RU,53.1257,47.2041,39.92,79,85,4.38,overcast clouds
104,Oranjemund,NA,-28.55,16.4333,54.37,86,9,11.03,clear sky
105,Lima,PE,-12.0432,-77.0282,69.39,72,100,10.36,overcast clouds
106,Cherskiy,RU,68.75,161.3,49.41,59,73,11.14,broken clouds
107,Rio Grande,BR,-32.035,-52.0986,71.71,53,74,5.01,broken clouds
108,Griffith,US,41.5284,-87.4237,62.55,75,75,11.5,broken clouds
109,Lagoa,PT,39.05,-27.9833,64.18,92,77,2.46,broken clouds
110,Huarmey,PE,-10.0681,-78.1522,70.88,74,27,9.75,scattered clouds
111,Fortuna,US,40.5982,-124.1573,60.93,75,20,1.99,few clouds
112,Yerbogachen,RU,61.2767,108.0108,45.03,94,74,4.29,broken clouds
113,Mount Isa,AU,-20.7333,139.5,64.17,63,73,5.75,broken clouds
114,Kuching,MY,1.55,110.3333,75.42,100,40,1.14,scattered clouds
115,Northam,GB,51.0333,-4.2167,60.39,78,89,8.48,overcast clouds
116,Chapais,CA,49.7834,-74.8492,55.18,49,58,11.48,broken clouds
117,Cidreira,BR,-30.1811,-50.2056,64.42,54,3,4.25,clear sky
118,Huron,US,41.1501,-82.5499,84.18,67,98,13.24,overcast clouds
119,Roald,NO,62.5833,6.1333,52.72,87,75,9.22,broken clouds
120,Haines Junction,CA,60.7522,-137.5108,52.45,47,6,3.47,clear sky
121,Komsomolskiy,UZ,40.4272,71.7189,68.72,64,75,18.41,broken clouds
122,Sinnamary,GF,5.3833,-52.95,78.22,88,90,13.33,light rain
123,Belaya Gora,RU,68.5333,146.4167,43.3,83,69,2.06,broken clouds
124,Saint-Philippe,RE,-21.3585,55.7679,72.99,80,58,12.08,light rain
125,Richards Bay,ZA,-28.783,32.0377,63.48,88,100,21.97,light rain
126,Severo-Kurilsk,RU,50.6789,156.125,41.4,98,100,1.5,overcast clouds
127,Raton,US,36.9034,-104.4391,39.06,66,100,12.66,overcast clouds
128,Sao Filipe,CV,14.8961,-24.4956,72.68,77,49,12.64,scattered clouds
129,Kashan,IR,33.9831,51.4364,78.39,15,64,6.91,dust
130,Katsuura,JP,35.1333,140.3,60.6,92,100,12.93,light rain
131,Barrow,US,71.2906,-156.7887,23.02,86,100,10.36,overcast clouds
132,Necochea,AR,-38.5473,-58.7368,60.71,58,1,11.54,clear sky
133,Olafsvik,IS,64.8945,-23.7142,44.01,80,80,20.22,broken clouds
134,Alofi,NU,-19.0595,-169.9187,66.09,100,56,0.0,broken clouds
135,Daura,NG,11.5538,11.4085,96.04,19,10,6.55,clear sky
136,Antofagasta,CL,-23.65,-70.4,61.88,72,47,6.87,scattered clouds
137,Dawei,MM,14.0833,98.2,77.56,95,100,5.32,overcast clouds
138,Castro,BR,-24.7911,-50.0119,64.56,36,32,2.33,scattered clouds
