City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
297,Palmer,US,88.39,overcast clouds,42.1584,-72.3287,Wedgewood Motel
300,Dabakala,CI,80.08,moderate rain,8.3667,-4.4333,Hôtel Campement
302,Honiara,SB,77.4,scattered clouds,-9.4333,159.95,Heritage Park Hotel
313,Asyut,EG,79.48,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
315,Juba,SS,76.59,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
324,Bandarbeyla,SO,80.76,overcast clouds,9.4942,50.8122,JABIR HOTEL
325,Mahibadhoo,MV,83.5,broken clouds,3.7833,72.9667,Omadhoo Inn
332,Wana,PK,76.5,clear sky,32.2989,69.5725,Rest House at Wana Camp
333,Keti Bandar,PK,82.09,clear sky,24.1447,67.4497,Haji laloo memon house
335,Cabadiangan,PH,79.43,overcast clouds,9.7531,122.4739,Kipot
342,Bairiki,KI,80.6,moderate rain,1.3292,172.9752,Tarawa Boutique Hotel
343,Karjat,IN,81.54,few clouds,18.9167,73.3333,Pinewood Resort Karjat
346,Harper Woods,US,78.91,few clouds,42.4331,-82.9241,Parkcrest Inn
348,Bocas Del Toro,PA,82.76,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
350,Takoradi,GH,78.31,light rain,4.8845,-1.7554,Raybow International Hotel
351,Guskhara,IN,85.82,scattered clouds,23.5,87.75,Ananda Kuthi
352,George Town,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
354,Fomboni,KM,80.98,scattered clouds,-12.28,43.7425,Auberge les abou
358,Kribi,CM,78.73,overcast clouds,2.95,9.9167,La Grace Hôtel
362,Isangel,VU,78.37,overcast clouds,-19.55,169.2667,Tanna Lodge
367,Sai Buri,TH,79.12,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
375,Karratha,AU,76.93,few clouds,-20.7377,116.8463,ibis Styles Karratha
378,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
379,Phan Thiet,VN,79.32,overcast clouds,10.9333,108.1,Hotel Saigon-PT
381,Mabaruma,GY,84.56,broken clouds,8.2,-59.7833,Monty Brooms Guest House
389,Finschhafen,PG,78.78,clear sky,-6.6024,147.8681,Cossam Guest House
393,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
394,Nieuw Amsterdam,SR,82.56,heavy intensity rain,5.8833,-55.0833,Hotel Stardust
395,Saint-Georges,GD,82.29,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
397,Kloulklubed,PW,83.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
401,Cairns,AU,75.15,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
403,Marsh Harbour,BS,81.23,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
408,Freetown,SL,79.29,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
410,Kandrian,PG,76.42,scattered clouds,-6.2167,149.55,Kandrian Station
411,Massape,BR,85.14,broken clouds,-3.5228,-40.3428,Pousada Recanto de Fátima
415,Pedernales,DO,86.49,broken clouds,18.0384,-71.744,Hotel Costa Marina
419,Dingle,PH,77.7,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
420,Sal Rei,CV,75.4,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
429,The Valley,AI,84.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
435,Hami,CN,78.75,clear sky,42.8,93.45,Laoyutang Resort
440,Chalchihuites,MX,76.75,clear sky,23.4833,-103.8833,Hotel chalchihuites
442,Loandjili,CG,76.14,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
444,Jizan,SA,86.54,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
447,Sao Jose Da Coroa Grande,BR,80.62,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
452,Vanimo,PG,77.0,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
459,Garowe,SO,85.77,overcast clouds,8.4054,48.4845,Curubo Hotel
462,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
463,San Pedro,PH,78.35,light rain,14.35,121.0167,Esquivel's Garden And Resort
465,Palafrugell,ES,83.16,scattered clouds,41.9174,3.1631,Hotel La Torre
470,Tautira,PF,79.07,light rain,-17.7333,-149.15,Pension Oaoa
472,Grand-Santi,GF,78.03,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
473,Pizarro,CO,80.78,overcast clouds,4.9533,-77.366,Hotel Limonar
479,Awbari,LY,80.29,clear sky,26.5921,12.7805,فندق أوباري
490,Acarau,BR,83.28,scattered clouds,-2.8856,-40.12,castelo pizzaria
491,Winton,US,81.75,clear sky,37.3894,-120.6133,Applegate Inn
492,Biak,ID,75.61,overcast clouds,-0.9131,122.8766,Penginapan Kim
494,Bonthe,SL,76.41,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
496,Carutapera,BR,81.9,overcast clouds,-1.195,-46.02,Lidera
500,Kavaratti,IN,83.12,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
503,Pocone,BR,85.91,scattered clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
504,Diamantino,BR,85.95,broken clouds,-14.4086,-56.4461,Hotel Delta
505,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
507,Camopi,GF,80.65,light rain,3.1655,-52.3158,La pousada
514,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
516,Baghdad,IQ,80.51,broken clouds,33.3406,44.4009,Baghdad Hotel
523,Mulege,MX,83.44,clear sky,26.8833,-111.9833,Casa Granada
524,Ko Samui,TH,83.8,overcast clouds,9.5357,99.9357,The Passage
525,Natal,BR,86.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
530,Ewa Beach,US,80.55,broken clouds,21.3156,-158.0072,Base Lodging
537,Hobyo,SO,80.94,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
538,Korla,CN,77.86,overcast clouds,41.7597,86.1469,Gulisitan Hotel
543,Pontian Kecil,MY,81.0,broken clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
547,Santa Marta,CO,86.81,clear sky,11.2408,-74.199,Hotel La Ballena Azul
548,Nisia Floresta,BR,86.81,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
551,Dhidhdhoo,MV,83.48,broken clouds,6.8833,73.1,Dhidhoo beach
555,Matara,LK,78.87,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
557,Muros,ES,76.68,light rain,42.7762,-9.0603,Apartment Av. Castelao
558,Kutum,SD,85.33,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
559,Culebra,PR,87.84,overcast clouds,18.303,-65.301,Palmetto Guesthouse
563,Touros,BR,83.95,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
568,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
573,Morondava,MG,76.89,scattered clouds,-20.2833,44.2833,La Case Bambou
577,Barra Do Garcas,BR,84.16,clear sky,-15.89,-52.2567,Pousada Tropical
579,Champerico,GT,85.69,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
582,Pandan,PH,79.88,overcast clouds,14.0453,124.1694,Bonifacio Lodge
589,San Ramon,US,80.94,clear sky,37.7799,-121.978,San Ramon Marriott
595,Ugoofaaru,MV,83.26,few clouds,5.6667,73.0,Ungoofaaru Inn
